股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
002378,章源钨业,C,1.428
002379,宏创控股,C,1.1021
002380,科远股份,C,1.0605
002381,双箭股份,C,1.2749
002382,蓝帆医疗,C,0.9407
002383,合众思壮,C,1.7942
002384,东山精密,C,1.0359
002385,大北农,C,0.8683
002386,天原集团,C,1.3219
002388,新亚制程,C,0.8389
002390,信邦制药,C,0.9439
002391,长青股份,C,1.033
002392,北京利尔,C,1.5137
002393,力生制药,C,0.7281
002394,联发股份,C,0.8978
002395,双象股份,C,1.2101
002396,星网锐捷,C,1.5096
002397,梦洁股份,C,1.4611
002398,建研集团,M,1.3546
002401,中远海科,I,1.4648
002402,和而泰,C,1.2223
002403,爱仕达,C,0.5709
002404,嘉欣丝绸,C,1.1733
002405,四维图新,I,1.0783
002406,远东传动,C,1.0073
002407,多氟多,C,1.7486
002408,齐翔腾达,C,1.298
002409,雅克科技,C,0.7915
002410,广联达,I,0.8929
002411,必康股份,C,1.614
002413,雷科防务,C,0.9107
002414,高德红外,C,1.0658
002415,海康威视,C,0.6016
002416,爱施德,F,1.4556
002417,三元达,C,1.2814
002418,康盛股份,C,0.8087
002419,天虹股份,F,1.3403
002420,毅昌股份,C,1.2676
002421,达实智能,I,1.1883
002422,科伦药业,C,0.6626
002423,中原特钢,C,1.4458
002424,贵州百灵,C,0.7063
002425,凯撒文化,C,0.817
002426,胜利精密,C,1.4724
002427,尤夫股份,C,1.1718
002428,云南锗业,C,1.227
002429,兆驰股份,C,1.6807
002430,杭氧股份,C,1.8678
002432,九安医疗,C,2.5616
002433,太安堂,C,1.0844
002434,万里扬,C,1.5837
002435,长江润发,C,1.2302
002436,兴森科技,C,0.8813
002437,誉衡药业,C,0.875
002438,江苏神通,C,1.418
002439,启明星辰,I,1.0899
002440,闰土股份,C,1.0035
002441,众业达,F,1.2476
002442,龙星化工,C,1.4027
002443,金洲管道,C,1.1772
002444,巨星科技,C,0.9918
002447,壹桥股份,A,1.0941
002448,中原内配,C,1.1001
002449,国星光电,C,0.8048
002450,康得新,C,0.5124
002451,摩恩电气,C,1.494
002452,长高集团,C,1.0292
002453,天马精化,C,1.5538
002454,松芝股份,C,1.1983
002455,百川股份,C,1.121
002456,欧菲光,C,-0.0354
002457,青龙管业,C,1.2827
002458,益生股份,A,1.6858
002459,天业通联,C,1.0298
002460,赣锋锂业,C,1.5734
002461,珠江啤酒,C,1.0902
002462,嘉事堂,F,1.3602
002463,沪电股份,C,0.9194
002464,金利科技,C,1.0058
002465,海格通信,C,1.2651
002466,天齐锂业,C,1.686
002467,二六三,I,1.3822
002468,申通快递,C,1.0974
002469,三维工程,M,1.0044
002470,金正大,C,1.1219
002471,中超控股,C,0.9769
002472,双环传动,C,1.0442
002474,榕基软件,I,1.5144
002475,立讯精密,C,1.1029
002477,雏鹰农牧,A,1.1832
002478,常宝股份,C,1.3485
002479,富春环保,D,1.0591
002480,新筑股份,C,0.0361
002481,双塔食品,C,0.6419
002483,润邦股份,C,1.4122
002484,江海股份,C,1.0589
002485,希努尔,C,1.0505
002486,嘉麟杰,C,1.1011
002487,大金重工,C,1.0701
002488,金固股份,C,0.8257
002489,浙江永强,C,0.9722
002491,通鼎互联,C,0.8889
002492,恒基达鑫,G,0.8059
002493,荣盛石化,C,1.2325
002494,华斯股份,C,1.0399
002495,佳隆股份,C,1.1722
002496,辉丰股份,C,0.8962
002497,雅化集团,C,1.4464
002498,汉缆股份,C,1.0837
002499,科林环保,C,1.5823
002501,利源精制,C,0.9357
002502,骅威文化,C,1.5376
002503,搜于特,C,1.3678
002505,大康农业,A,0.8527
002506,协鑫集成,C,1.0217
002507,涪陵榨菜,C,1.087
002508,老板电器,C,0.3903
002509,天广中茂,C,1.0843
002510,天汽模,C,0.9825
002511,中顺洁柔,C,1.0242
002512,达华智能,C,0.9353
002513,蓝丰生化,C,1.3446
002514,宝馨科技,C,0.5845
002515,金字火腿,C,1.1059
002516,旷达科技,C,0.8842
002517,恺英网络,C,1.2881
002520,日发精机,C,0.4042
002521,齐峰新材,C,1.0732
002522,浙江众成,C,1.0564
002523,天桥起重,C,1.1104
002526,山东矿机,C,1.1947
002528,英飞拓,C,0.9167
002529,海源机械,C,1.4542
002530,金财互联,C,0.9363
002531,天顺风能,C,1.1803
002532,新界泵业,C,0.3435
002533,金杯电工,C,0.8049
002534,杭锅股份,C,1.7114
002535,林州重机,C,1.4069
002536,西泵股份,C,1.0482
002537,海立美达,C,0.9151
002538,司尔特,C,0.8219
002539,云图控股,C,1.2327
002540,亚太科技,C,1.0875
002541,鸿路钢构,C,1.552
002543,万和电气,C,1.1229
002544,杰赛科技,I,0.9561
002545,东方铁塔,C,1.0048
002546,新联电子,C,0.7538
002547,春兴精工,C,1.2142
002548,金新农,C,1.3815
002549,凯美特气,C,1.1406
002550,千红制药,C,0.7407
002552,宝鼎科技,C,1.0628
002553,南方轴承,C,0.9759
002554,惠博普,B,1.3628
002556,辉隆股份,F,1.4598
002557,洽洽食品,C,1.1036
002558,巨人网络,N,0.8036
002559,亚威股份,C,1.4437
002560,通达股份,C,0.8758
002561,徐家汇,F,1.0618
002562,兄弟科技,C,1.0456
002563,森马服饰,C,1.3236
002564,天沃科技,C,1.2956
002565,顺灏股份,C,1.2004
002566,益盛药业,C,0.8696
002567,唐人神,C,1.5599
002568,百润股份,C,1.5911
